id,city,neighborhood,price,currency,type,bedrooms,bathrooms,parking,garden,pool,near_schools,near_transit,sqft,address,url,image_url,lat,lon,description
1015,Kutaisi,Downtown,9470,USD,apartment,1,1,False,False,False,True,False,140,78 Downtown St.,https://example.com/listing/1015,https://picsum.photos/seed/1015/640/360,41.61855225478688,41.5952445701067,"1BR apartment in Downtown, Kutaisi. Cozy place with basic amenities."
1016,Kutaisi,Downtown,5300,USD,apartment,1,2,True,True,True,True,False,143,172 Downtown St.,https://example.com/listing/1016,https://picsum.photos/seed/1016/640/360,41.61968489603437,41.60101804983234,"1BR apartment in Downtown, Kutaisi. Cozy place with parking, pool, garden."
1017,Kutaisi,White Bridge,20160,USD,apartment,3,1,True,False,True,False,True,47,5 White Bridge St.,https://example.com/listing/1017,https://picsum.photos/seed/1017/640/360,41.601278314466,41.59854549636065,"3BR apartment in White Bridge, Kutaisi. Cozy place with parking, pool."
1018,Kutaisi,White Bridge,3180,USD,apartment,4,2,True,False,False,True,False,205,175 White Bridge St.,https://example.com/listing/1018,https://picsum.photos/seed/1018/640/360,41.61047986859868,41.59859335587532,"4BR apartment in White Bridge, Kutaisi. Cozy place with parking."
1019,Yerevan,Kentron,17040,USD,apartment,1,1,False,False,True,False,True,165,38 Kentron St.,https://example.com/listing/1019,https://picsum.photos/seed/1019/640/360,41.61289016994817,41.60673933820794,"1BR apartment in Kentron, Yerevan. Cozy place with pool."
1020,Yerevan,Kentron,11960,USD,apartment,1,1,False,False,False,True,True,71,172 Kentron St.,https://example.com/listing/1020,https://picsum.photos/seed/1020/640/360,41.604657806578714,41.611393508128494,"1BR apartment in Kentron, Yerevan. Cozy place with basic amenities."
1021,Yerevan,Arabkir,7340,USD,apartment,3,1,True,True,True,False,True,53,188 Arabkir St.,https://example.com/listing/1021,https://picsum.photos/seed/1021/640/360,41.59741683666763,41.61137979060094,"3BR apartment in Arabkir, Yerevan. Cozy place with parking, garden, pool."
1022,Yerevan,Arabkir,25430,USD,condo,3,1,False,False,False,True,True,72,183 Arabkir St.,https://example.com/listing/1022,https://picsum.photos/seed/1022/640/360,41.58089251122378,41.606364128589796,"3BR condo in Arabkir, Yerevan. Cozy place with basic amenities."
1023,Baku,Yasamal,17070,USD,apartment,3,1,False,False,False,True,True,185,125 Yasamal St.,https://example.com/listing/1023,https://picsum.photos/seed/1023/640/360,41.58558456283362,41.586563714351094,"3BR apartment in Yasamal, Baku. Cozy place with basic amenities."
1024,Baku,Yasamal,16780,USD,condo,1,2,False,False,False,False,False,149,87 Yasamal St.,https://example.com/listing/1024,https://picsum.photos/seed/1024/640/360,41.58862863211835,41.59683134546778,"1BR condo in Yasamal, Baku. Cozy place with basic amenities."
1025,Baku,Nizami,19050,USD,apartment,3,1,False,False,False,True,False,69,192 Nizami St.,https://example.com/listing/1025,https://picsum.photos/seed/1025/640/360,41.609749368691574,41.61121515504207,"3BR apartment in Nizami, Baku. Cozy place with basic amenities."
1026,Baku,Nizami,26060,USD,apartment,3,1,True,True,True,True,True,215,114 Nizami St.,https://example.com/listing/1026,https://picsum.photos/seed/1026/640/360,41.601895907372395,41.59404042913156,"3BR apartment in Nizami, Baku. Cozy place with garden, pool, parking."
